gmlid,idref,area,fixed,lat,lon
n00582,null,21,0,35.8661792,137.2156537
n00583,null,21,0,35.8652327,137.2174332
n00584,null,21,0,35.8860965,137.1748865
n00585,null,21,0,35.8304368,137.2336265
n00586,null,21,0,35.8036173,137.2454153
n00587,null,21,0,35.8032074,137.2454523
n00588,null,21,0,35.8014119,137.2486338
n00589,null,21,0,35.7794462,137.2868498
n00590,3748547500,21,50,35.7924714,137.2537529
n00591,null,21,0,35.7909951,137.2567349
n00592,null,21,0,35.789694,137.2558529
n00593,null,21,0,35.9487296,137.2601079
n00594,null,21,0,35.9422496,137.2537925
n00595,null,21,0,35.7137872,137.1378194
n00596,null,21,0,35.6432731,137.1467325
n00597,null,21,0,35.6624744,137.1579371
n00598,null,21,0,35.6612918,137.1565528
n00599,null,21,0,35.666864,137.1617805
n00600,null,21,0,35.7685466,137.2828879
n00601,null,21,0,35.768582,137.2827506
n00602,null,21,0,35.3202267,136.6838596
n00603,null,21,0,35.3154701,136.7192794
n00604,null,21,0,35.3109295,136.7140039
n00605,null,21,0,35.3234185,136.7159675
n00606,null,21,0,35.3175944,136.7048712
n00607,null,21,0,35.3265295,136.7112749
n00608,null,21,0,35.3249449,136.6951592
n00609,null,21,0,35.3271067,136.698967
n00610,1725160035,21,1,35.3494695,136.7257471
n00611,null,21,0,35.3187569,136.6950996
n00612,null,21,0,35.3257893,136.7160033
n00613,1715892821,21,1,35.3052245,136.6946676
n00614,1715892777,21,50,35.3048188,136.6938956
n00615,null,21,0,35.3057095,136.6948567
n00616,null,21,0,35.3047747,136.6946152
n00617,1715698737,21,1,35.3034833,136.6927143
n00618,null,21,0,35.3141231,136.6951177
n00619,null,21,0,35.3183686,136.7020257
n00620,2517042233,21,50,35.3827281,136.7841328
n00621,2866072802,21,1,35.3829249,136.7849148
n00622,null,21,0,35.3879331,136.7894343
n00623,2521956039,21,1,35.3899578,136.7853073
n00624,null,21,0,35.3932218,136.7877038
