gmlid,area,fixed,lat,lon
n22591,3,0,39.188996,141.56063
n22592,3,0,39.19344,141.595905
n22593,3,0,39.143165,141.490638
n22594,3,0,39.140669,141.579241
n22595,3,0,39.35751,141.917717
n22596,3,0,39.370683,141.941231
n22597,3,0,39.38272,141.932116
n22598,3,0,39.443963,141.806151
n22599,3,0,39.35815,141.890039
n22600,3,0,39.356639,141.935536
n22601,3,0,39.371314,141.887976
n22602,3,0,39.368197,141.89838
n22603,3,0,39.450302,141.96036
n22604,3,0,39.419783,141.991488
n22605,3,0,39.450447,142.004079
n22606,3,0,39.432866,141.973363
n22607,3,0,39.483522,141.974656
n22608,3,0,39.462313,141.946484
n22609,3,0,39.534535,141.926229
n22610,3,0,39.986962,141.730866
n22611,3,0,39.783927,141.55811
n22612,3,50,39.847509,141.790781
n22613,3,0,39.846984,141.970016
n22614,3,0,39.772486,141.811605
n22615,3,0,39.820892,141.728261
n22616,3,0,39.80226,141.658656
n22617,3,0,39.876973,141.651987
n22618,3,0,39.853643,141.686985
n22619,3,0,39.940356,141.833007
n22620,3,0,39.916141,141.936961
n22621,3,0,39.933821,141.937278
n22622,3,0,39.930861,141.891409
n22623,3,0,40.008074,141.886408
n22624,3,0,40.048245,141.862041
n22625,3,0,40.271089,141.48171
n22626,3,0,40.326299,141.46241
n22627,3,0,40.297753,141.526983
n22628,3,0,40.328563,141.383066
n22629,3,0,40.080428,141.827246
n22630,3,0,40.112227,141.818077
n22631,3,0,40.206372,141.423107
n22632,3,0,40.161933,141.429219
n22633,3,0,40.253363,141.411403
n22634,3,0,40.262912,141.704601
n22635,3,50,40.347014,141.763319
n22636,3,0,40.412585,141.716753
n22637,3,0,40.443445,141.679211
n22638,3,0,40.393212,141.636196
n22639,3,50,40.363547,141.745933
n22640,3,0,40.321542,141.608469
n22641,3,0,40.283131,141.624544
n22642,3,0,40.302433,141.773963
n22643,3,0,40.317539,141.764804
n22644,3,50,40.216369,141.301451
n22645,3,0,40.124712,141.262012
n22646,3,50,40.171652,141.306173
n22647,3,50,40.063329,141.233128
n22648,3,50,40.197351,141.265973
n22649,3,0,40.239421,141.275065
n21761,4,50,38.31111,140.768773
n21762,4,50,38.295115,140.887902
n21763,4,50,38.258201,140.875152
n21764,4,50,38.257539,140.872039
n21765,4,50,38.261253,140.871225
n21766,4,50,38.288242,140.7488
n21767,4,50,38.269356,140.763522
n21768,4,50,38.286353,140.843896
n21769,4,0,38.28991,140.822962
n21770,4,50,38.271074,140.883769
n21771,4,0,38.269631,140.876303
n21772,4,50,38.297406,140.682972
n21773,4,50,38.268166,140.790798
n21774,4,50,38.287967,140.859347
n21775,4,50,38.293852,140.854597
n21776,4,50,38.316846,140.632697
n21777,4,50,38.301292,140.849667
n21778,4,50,38.276301,140.847127
n21779,4,50,38.279463,140.888716
n21780,4,50,38.281302,140.869624
n21781,4,50,38.279657,140.702234
n21782,4,50,38.273891,140.879557
n21783,4,50,38.275818,140.875367
n21784,4,50,38.271858,140.861292
n21785,4,50,38.261888,140.804492
n21786,4,50,38.261303,140.850738
n21787,4,50,38.304912,140.836567
n21788,4,50,38.290646,140.873051
n21789,4,50,38.284042,140.874839
n21790,4,0,38.333791,140.699914
n21791,4,50,38.260111,140.865005
n21792,4,0,38.25987,140.881754
n21793,4,50,38.259397,140.876453
n21794,4,50,38.273551,140.889922
n21795,4,50,38.294029,140.838603
n21796,4,50,38.298853,140.867251
n21797,4,50,38.274496,140.86571
n21798,4,50,38.270247,140.849999
n21799,4,50,38.2517,140.870592
n21800,4,50,38.254638,140.877402
n21801,4,50,38.266496,140.878392
n21802,4,50,38.263079,140.874
n21803,4,50,38.267706,140.873682
n21804,4,50,38.269065,140.872455
n21805,4,50,38.279635,140.859625
n21806,4,50,38.26937,140.865195
n21807,4,50,38.264359,140.864903
n21808,4,50,38.282006,140.98373
n21809,4,50,38.255753,140.981003
n21810,4,0,38.256032,141.006557
n21811,4,50,38.295165,140.936831
n21812,4,50,38.304635,140.948781
n21813,4,50,38.261021,140.905935
n21814,4,50,38.252941,140.910799
n21815,4,50,38.264403,140.900695
n21816,4,50,38.269968,140.911148
n21817,4,50,38.262177,140.897172
n21818,4,50,38.275639,140.899246
n21819,4,50,38.290469,140.903786
n21820,4,50,38.265331,140.890902
n21821,4,50,38.273527,140.921286
n21822,4,50,38.256861,140.896567
n21823,4,50,38.290071,140.917448
n21824,4,50,38.281696,140.960438
n21825,4,50,38.279423,140.91983
n21826,4,50,38.27386,140.912344
n21827,4,50,38.262767,140.892089
n21828,4,50,38.28215,140.969835
n21829,4,50,38.270544,140.960592
n21830,4,50,38.27067,140.916012
n21831,4,50,38.257006,140.89184
n21832,4,50,38.226566,140.912948
n21833,4,50,38.256438,140.921042
n21834,4,50,38.240006,140.891277
n21835,4,50,38.25416,140.881842
n21836,4,50,38.243808,140.936564
n21837,4,50,38.248806,140.884624
n21838,4,0,38.220205,140.981858
n21839,4,50,38.245473,140.888513
n21840,4,50,38.215366,140.930412
n21841,4,50,38.233422,140.89531
n21842,4,50,38.22047,140.916025
n21843,4,50,38.257136,140.886626
n21844,4,50,38.247863,140.92
n21845,4,50,38.243193,140.912265
n21846,4,50,38.257418,140.953506
n21847,4,50,38.240384,140.903774
n21848,4,50,38.240475,140.925454
n21849,4,50,38.24558,140.89921
n21850,4,50,38.24885,140.902711
n21851,4,50,38.251269,140.894468
n21852,4,50,38.245195,140.88018
n21853,4,50,38.218607,140.839652
n21854,4,50,38.221115,140.836312
n21855,4,50,38.23047,140.849835
n21856,4,50,38.245793,140.870407
n21857,4,50,38.192424,140.913235
n21858,4,50,38.257132,140.677696
n21859,4,50,38.228803,140.71825
n21860,4,50,38.267964,140.648808
n21861,4,50,38.223541,140.807576
n21862,4,50,38.214643,140.884347
n21863,4,50,38.196888,140.87884
n21864,4,50,38.219974,140.864824
n21865,4,50,38.232199,140.816761
n21866,4,50,38.214537,140.876332
n21867,4,50,38.235751,140.859904
n21868,4,50,38.197583,140.889865
n21869,4,50,38.231358,140.885555
n21870,4,50,38.221306,140.882911
n21871,4,50,38.22786,140.876319
n21872,4,50,38.199728,140.904653
n21873,4,50,38.226894,140.895337
n21874,4,50,38.240456,140.846408
n21875,4,50,38.236126,140.838407
